,text,name
Q18814,"Jessica Ellen Cornish (born 27 March 1988), better known by her stage name Jessie J, is an English singer and songwriter.  Born and brought up in London, England, she studied at the BRIT School before",Jessie J
Q188197,"Fabian Cancellara (born 18 March 1981), nicknamed ""Spartacus"", is a Swiss professional road bicycle racer for UCI ProTeam . He was born in Wohlen bei Bern, Switzerland. Cancellara began road cycling a",Fabian Cancellara
Q188241,"Ricardo Andrade Quaresma Bernardo (born 26 September 1983) is a Portuguese professional footballer who plays for F.C. Porto as a winger.

He began his career at Sporting Clube de Portugal, and has als",Ricardo Quaresma
Q188361,"Bridget Elizabeth Sloan (born June 23, 1992) is an American elite gymnast.  She was the 2009 All-Around World Champion and the 2009 All-Around U.S. National Champion.  Sloan was a member of the U.S. w",Bridget Sloan
Q188401,"Emily Jordan Osment (born March 10, 1992) is an American actress, singer, and songwriter born in Los Angeles, California. After working in several television films in her childhood, she gained fame fo",Emily Osment
Q188457,"Daniel Nii Tackie Mensah ""Danny"" Welbeck (born 26 November 1990) is an English professional footballer who plays as a centre-forward for Arsenal and the England national team. He can also play as a wi",Danny Welbeck
Q188500,"Elisha Ann Cuthbert (born April 20, 1982) is a Canadian actress and model. She began her career as the co-host of the Canadian children's television series Popular Mechanics for Kids (1997–2000). Sinc",Elisha Cuthbert
Q188542,"Aliaksandr Paulavich Hleb (, ; ; born 1 May 1981) commonly referred to in English as Alexander Hleb, is a Belarusian professional footballer who plays for Turkish club Konyaspor.

His natural and pref",Alexander Hleb
Q1886196,"麦喜俊（，），馬來西亞男子羽毛球运动员。

簡歷
2010年11月，麦喜俊代表馬來西亞出戰廣州亞運會，參加羽毛球比賽的男子雙打和男子團體項目。

2011年，麦喜俊因与拍档陳煒時有分歧而影响表现，拆伙改與老將王順福搭配，首次合作參加越南羽毛球公开赛即杀进四强。

主要比賽成績
只列出曾進入準決賽的國際賽事成績：
{| class=wikitable style=""text-align:center",麦喜俊
Q1887401,"Herschel Oulio Sanchez Watt (born 14 February 1991), more commonly known as Sanchez Watt, is an English professional footballer who plays as a forward or winger for Colchester United. He has represent",Sanchez Watt
Q188744,"Freida Selena Pinto (born 18 October 1984) is an Indian actress and model. From a Mangalorean Catholic family, she wanted to become an actress from a young age. Prior to making her cinematic debut, sh",Freida Pinto
Q188746,"Jermain Colin Defoe (born 7 October 1982) is an English footballer who plays as a striker for Toronto FC of Major League Soccer and the England national football team.

Defoe began his career with Cha",Jermain Defoe
Q18881,"Aly Cissokho (, born 15 September 1987) is a French professional footballer who plays for Aston Villa in the Premier League and the France national team. He plays as a left back and has been described",Aly Cissokho
Q188918,"Aleksandr Gennadyevich Anyukov () (born 28 September 1982 in Samara) is a Russia international association football defender.

Aleksandr Anyukov attended football school in Samara since the age of six",Aleksandr Anyukov
Q188921,"Igor Vladimirovich Denisov (; born 17 May 1984) is an association footballer who plays as a  midfielder for the Russian national team and FC Dynamo Moscow.  

Denisov progressed through the youth rank",Igor Denisov
Q188997,"Wojciech Tomasz Szczęsny (; born 18 April 1990) is a Polish footballer who plays for Arsenal and the Poland national team as a goalkeeper.

His composure, agility and command of his area led to his es",Wojciech Szczęsny
Q189012,"Alexandre Dimitri Song Billong (born 9 September 1987), better known as Alex Song, is a Cameroonian professional footballer who plays for English club West Ham United, on loan from Spanish club FC Bar",Alex Song
Q1891194,"Mansur Faqiryar (born 3 January 1986 in Kabul, Afghanistan) is a footballer who plays as a Goalkeeper. He currently plays for VfB Oldenburg in the Regionalliga Nord and the Afghanistan national footba",Mansur Faqiryar
Q18915,"Esteban Manuel Gutiérrez Gutiérrez (; born 5 August 1991), is a Mexican racing driver. From 2012 to 2014 he drove  for the Sauber Formula One team, but lost the drive at the end of the 2014 season, wh",Esteban Gutiérrez
Q189184,"Rafael Pereira da Silva (born 9 July 1990), commonly known as Rafael or Rafael da Silva, is a Brazilian footballer who plays for Manchester United. He normally plays as a right-back, but can also play","Rafael (footballer, born 1990)"
Q189226,"Amanda Michelle Seyfried (; born December 3, 1985) is an American actress, singer and former model. She began her career as a model when she was 11, then at 15 began an acting  career, starting off wi",Amanda Seyfried
Q1893192,"Alexandru Iulian Maxim (born 8 July 1990 in Piatra Neamț) is a Romanian footballer who plays as an attacking midfielder for German Bundesliga side VfB Stuttgart.

Club career
Maxim started his footbal",Alexandru Maxim
Q1893520,"Ronny Carlos da Silva (born February 25, 1983) Itabuna, Bahia, Brazil, is a footballer.

Influenced in his youth by his father, a fanatic supporter of Bahia, da Silva followed the campaign that led to",Ronny Carlos da Silva
Q1894,"Memphis Depay (born 13 February 1994) is a Dutch footballer who plays as a left winger for Eredivisie club PSV.http://eredivisielive.nl/eredivisie/speler/970679/memphis-depay/Memphis Depay

Club caree",Memphis Depay
Q1894059,"Marcos André Sousa da Silva Freitas  (born 8 April 1988) is a European Champion table tennis player from Portugal. 

He participated at the 2008 Summer Olympics in Beijing where he got knocked out in ",Marcos Freitas
Q189490,"Jennifer Shrader Lawrence (born August 15, 1990) is an American actress. Her first major role was as a lead cast member on the TBS sitcom The Bill Engvall Show (2007–09). She subsequently appeared in ",Jennifer Lawrence
Q1895942,"玛丽亚·赫斯波（，），丹麥女子羽毛球運動員。

簡歷
2011年，玛丽亚·赫斯波分別與安妮·斯基尔贝克和拉斯马斯·邦德合作，贏得丹麥國際賽的女雙和混雙亞軍。

主要比賽成績
只列出曾進入準決賽的國際賽事成績：
{| class=wikitable style=""text-align:center; font-size:small;"" 
!width=""80""|年份
!width=""180""|賽事
",玛丽亚·赫斯波
Q189719,"Zenon Caravella (born 17 March 1983 in Cairns, Australia) is an Australian football (soccer) player who plays for Newcastle Jets in the A-League.

Club career
After the demise of the NSL in  Caravella",Zenon Caravella
Q1897482,"马丽恩·罗布克（，），丹麦女子羽毛球運動員，擅長雙打項目。

簡歷
2012年，马丽恩·罗布克參加在瑞典卡爾斯克魯納舉行的歐洲羽毛球錦標賽，夥拍莱恩·丹穆凯尔·克鲁斯躋身女雙比賽四強。

2013年8月，马丽恩·罗布克參加中國廣州舉行的世界羽毛球錦標賽，與莱恩·丹穆凯尔·克鲁斯出戰女子雙打項目，首圈以2-1反勝印度選手晉級，但在第二圈就以0比2（8-21、14-21）不敵5號種子、中國的田卿/赵芸",马丽恩·罗布克
Q18982,"Thomas Christopher  ""Tom"" Ince (born 30 January 1992) is an English professional footballer who plays for Hull City as a winger. He has also played for Liverpool, Notts County, Crystal Palace, Notting",Tom Ince
Q1899435,"马吕斯·迈尔（，），挪威男子羽毛球運動員。

簡歷
2013年8月，马吕斯·迈尔參加中國廣州舉行的世界羽毛球錦標賽，分別出戰男子單打和男子雙打項目。在男子單打方面，他在首圈就以0比2（16-21、15-21）負於瑞典的亨利·胡尔斯凯宁出局；而男雙方面，他與Jonas Christensen亦在首圈以0比2（15-21、8-21）負於马库斯·埃利斯/保罗·范·里特维德出局。

主要比賽成績
只列出曾",马吕斯·迈尔
Q19004,"Sonny John Moore (born January 15, 1988), better known by his stage name Skrillex, is an American electronic dance music producer, DJ, and singer-songwriter. Growing up in Northeast Los Angeles and in",Skrillex
Q190231,"Adam Mitchel Lambert (born January 29, 1982) is an American singer, songwriter, and stage actor. Born in Indianapolis, Indiana and raised in San Diego, California, he performed in amateur theatrical p",Adam Lambert
Q19051,"Mame Biram Diouf (born 16 December 1987) is a Senegalese footballer who plays as a striker for Stoke City and the Senegal national team.

Diouf started his career at Diaraf before moving to Molde in 2",Mame Biram Diouf
Q1905445,"Angie Lee Bainbridge, OAM (born 16 October 1989) is an Australian freestyle swimmer who specialises in the 200 m event.

At the 2008 Australian Swimming Championships she qualified for the 2008 Summer",Angie Bainbridge
Q1907,Hugo Lloris (; born 26 December 1986) is a French professional footballer who plays as a goalkeeper for English club Tottenham Hotspur and is the captain of the France national team. Lloris is describ,Hugo Lloris
Q1907247,"Mason Lee (born May 30, 1990) is a Taiwanese-American actor. He is the son of Ang Lee, a director, and Jane Lin, a microbiology researcher. He is best known for playing the role of Teddy in The Hangov",Mason Lee
Q1908,"Mathieu Debuchy ( ; born 28 July 1985) is a French professional footballer who plays for English club Arsenal. He is often deployed in the right back position, but began his career playing as a midfie",Mathieu Debuchy
Q1908829,"马蒂耶斯·迪耶克斯（，），比利時男子羽毛球運動員。

簡歷
2013年8月，马蒂耶斯·迪耶克斯參加中國廣州舉行的世界羽毛球錦標賽，與弗里克·戈林斯基出戰男子雙打項目，首圈因對手棄權而自動晉級，但在第二圈就以0比2（10-21、18-21）不敵8號種子、中國的蔡赟/傅海峰出局。

主要比賽成績
只列出曾進入準決賽的國際賽事成績：
{| class=wikitable style=""text-alig",马蒂耶斯·迪耶克斯
Q1909,"Adil Rami ( ; ; born 27 December 1985) is a Corsican-born French footballer of Moroccan descent who plays as a centre back for Serie A club Milan and the France national team.

Rami began his football",Adil Rami
Q190929,"Maximiliano Rubén ""Maxi"" Rodríguez (; born 2 January 1981) is an Argentine professional footballer who plays for Newell's Old Boys. Nicknamed La Fiera (Beast in English) he is commonly used as a winge",Maxi Rodríguez
Q190957,"Jóhanna Guðrún Jónsdóttir (born 16 October 1990), known outside of Iceland as Yohanna, is an Icelandic singer who was chosen to represent her nation at the Eurovision Song Contest 2009 in Moscow, Russ",Jóhanna Guðrún Jónsdóttir
Q1910,"Yohan Cabaye (; born 14 January 1986) is a French international footballer who plays for French club Paris Saint-Germain in Ligue 1 and the France national team, as a central midfielder. He is describ",Yohan Cabaye
Q1910467,"马修·罗英平（音譯自：，），法國男子羽毛球運動員。

簡歷
2013年6月，马修·罗英平代表法國參加土耳其梅爾辛舉行的地中海運動會羽毛球比賽，奪得一面男單銅牌。

主要比賽成績
只列出曾進入準決賽的國際賽事成績：
{| class=wikitable style=""text-align:center; font-size:small;"" 
!width=""80""|年份
!width=""180""|賽",马修·罗英平
Q191088,"Joseph Adam ""Joe"" Jonas (born August 15, 1989) is an American pop singer, musician, actor, and dancer. He was a member of the Jonas Brothers, a pop-rock band made up of him and his two brothers, Nick ",Joe Jonas
Q1910908,"Matías Carlos Schulz (born 1982) is an Argentine handball goalkeeper. He was born in Buenos Aires, and plays for the Spanish club BM Granollers. He competed for the Argentine national team at the 2012",Matías Schulz
Q1911,"Olivier Giroud (; born 30 September 1986) is a French footballer who plays for English club Arsenal in the Premier League and the France national team. He plays as a striker and is known for his size,",Olivier Giroud
Q191136,"James Philip Milner (born 4 January 1986) is an English professional footballer who plays as a midfielder for Manchester City and the England national team. He previously played for Leeds United, Swin",James Milner
Q1911438,"Maurice Alexander Ross (born 3 February 1981) is a Scottish association footballer who is currently manager of Sola FK in Norway.

Ross made his first senior appearance in professional football in Feb",Maurice Ross
Q191151,Alberto Aquilani (; born 7 July 1984) is an Italian professional footballer who plays for Fiorentina and the Italian national team. Aquilani is a central midfielder who can operate as a playmaker or a,Alberto Aquilani
Q1912,"Karim Mostafa Benzema  (born 19 December 1987) is a French footballer who plays for Spanish club Real Madrid and the French national football team as a striker. He is described as an ""immensely-talent",Karim Benzema
Q1913430,"麦克斯·施文格尔（，），德国男子羽毛球運動員。

簡歷
2013年8月，麦克斯·施文格尔參加中國廣州舉行的世界羽毛球錦標賽，與卡拉·尼尔特出戰混合雙打項目，首圈就以0比2（9-21、14-21）負於韓國的金基正/鄭景銀出局。

主要比賽成績
只列出曾進入準決賽的國際賽事成績：
{| class=wikitable style=""text-align:center; font-size:small;",麦克斯·施文格尔
Q1913896,"Maxime Teixeira (born 18 January 1989) is a French professional tennis player. He competes mainly on the ATP Challenger Tour and ITF Futures circuit, both in singles and doubles. He reached his highes",Maxime Teixeira
Q191476,"David Ferrer Ern (; born 2 April 1982) is a Spanish professional tennis player. Ferrer turned professional in 2000 and was in the first years of his career known as a clay-court specialist, having won",David Ferrer
Q1915,Laurent Koscielny () (born 10 September 1985) is a French footballer who plays as a defender for Arsenal and the French national team. He primarily plays as a centre back but he can also  play as a ri,Laurent Koscielny
Q1916,"Patrice Latyr Evra (; born 15 May 1981) is a French international footballer who plays for Italian club Juventus in Serie A. Originally an attacker, he primarily plays as a left-back. Evra, whom Sir A",Patrice Evra
Q1917,"Philippe Mexès (; born 30 March 1982) is a French footballer who plays as a centre back for Italian Serie A club Milan and for the French national team.

Club career

Auxerre

Mexès began his youth ca",Philippe Mexès
Q1917188,"樽野惠（，），日本女子羽毛球运动员，亦為現役日本國家羽毛球隊成員。福岡縣出生，畢業於金沢向陽高校，現隸屬於NTT東日本株式會社。

 簡歷 
2013年，樽野惠與新玉美鄉的組合參加奧地利羽毛球國際挑戰賽，贏得女雙冠軍。

主要比賽成績
只列出曾進入準決賽的國際賽事成績：
{| class=wikitable style=""text-align:center; font-size:small;"" 
",樽野惠
Q191736,"Nikolay Vladimirovich Davydenko (, ) is a retired Russian tennis player. He achieved a career-high singles ranking of World No. 3 in November 2006. Davydenko's best result in a Grand Slam tournament w",Nikolay Davydenko
Q191740,"Fernando Verdasco Carmona (born 15 November 1983 in Madrid, Spain) is a professional tennis player. His career-high singles ranking is World No. 7, achieved in April 2009. Verdasco started playing ten",Fernando Verdasco
Q191766,"Samantha ""Sam"" Jane Stosur ( ; born 30 March 1984) is an Australian professional tennis player.  She is a former World No. 1 in doubles, a ranking which she held for 61 weeks. Stosur is also a former ",Samantha Stosur
Q19177,Adam Edward Miller (born 19 February 1982) is a retired footballer. He began his career with Ipswich Town but failed to make the first team and played for several non-league teams before joining Queen,Adam Miller (footballer)
Q1918,"Franck Henry Pierre Ribéry () (born 7 April 1983) also known as Bilal Yusuf Mohammed as an adopted name since his conversion in 2006 to Islam, is a French footballer currently playing for German Bunde",Franck Ribéry
Q191842,"Jesse McCartney (born April 9, 1987) is an American singer-songwriter, actor, dancer, record producer and voice actor. McCartney achieved fame in the late 1990s on the daytime drama All My Children as",Jesse McCartney
Q191848,"Khalid Boulahrouz (; born 28 December 1981 in Maassluis) is a Dutch footballer who plays for Dutch Eredivisie club Feyenoord. His nickname is ""The Cannibal"" for his ability to ""eat up"" the opposition.",Khalid Boulahrouz
Q191855,"Gareth  Barry (born 23 February 1981) is an English footballer who plays as a midfielder for Everton. 

Barry moved to Aston Villa from Brighton & Hove Albion as a youngster, and spent 12 years at the",Gareth Barry
Q191885,"Thiago Motta (; ; born 28 August 1982) is a professional footballer who plays for French club Paris Saint-Germain F.C. mainly as a central midfielder.

He spent his early career at Barcelona, where he",Thiago Motta
Q1919,Mathieu Valbuena (; born 28 September 1984) is a French international footballer who plays for Dynamo Moscow in the Russian Premier League. He plays as an attacking midfielder and a winger and is know,Mathieu Valbuena
Q19190,"Rupert Alexander Lloyd Grint (born 24 August 1988) is an English actor who rose to prominence playing Ron Weasley, one of the three main characters in the Harry Potter film series. Grint was cast as R",Rupert Grint
Q1919047,"Melati Daeva Oktaviani (born 26 October 1994 in Serang) is a female Indonesian badminton player. She is a doubles specialist.

 Achievements 
Women's Doubles with Melvira Oklamona
{| class=""wikitable""",Melati Daeva Oktaviani
Q1919399,Melissa Hoskins (born 24 February 1991) is an Australian track and road racing cyclist. She topped the general classification in the 2012 Tour of Chongming Island. She was a member of the Australian t,Melissa Hoskins
Q1920,"Samir Nasri (born 26 June 1987) is a French professional footballer who plays for English club Manchester City and the France national team. He primarily plays as an attacking midfielder and a winger,",Samir Nasri
Q192064,Svetlana Aleksandrovna Kuznetsova (; born 27 June 1985) is a Russian professional tennis player and as of 18 August 2014 ranked No. 21 in the WTA singles and No. 56 in the doubles ranking. Kuznetsova ,Svetlana Kuznetsova
Q1921,"Blaise Matuidi (; born 9 April 1987) is a French international footballer who currently plays for French club Paris Saint-Germain in Ligue 1, as a central midfielder. He is described as a ""fierce and ",Blaise Matuidi
Q1921263," is a Japanese actor, best known for his role as Haruto Soma, the main character of the Kamen Rider Wizard tokusatsu series. He finished second in Junon Super Boy Contest 2007.

Filmography

TV series",Shunya Shiraishi
Q1921275,"Whitney Thompson (born September 26, 1987) is an American fashion model and is the winner of the tenth cycle of America's Next Top Model.

Early life
Before her appearance on the show, Thompson worked",Whitney Thompson
Q1922387,"Shakeel Abbasi (b: 5 January 1984,Shakeel Abbasi Official website London 2012 Olympics. Retrieved 20 July 2012 Quetta, Pakistan) is an international field hockey player from Pakistan. He plays Centre ",Shakeel Abbasi
Q1922469,"Ajmal Faizzada (born 20 May 1987) is an Afghan judoka. At London 2012 he competed in the Men's 66 kg, but was defeated in the first round by Hungary's Miklos Ungvari.

References

Category:Afghan judo",Ajmal Faizzada
Q1923,Jérémy Ménez ( ; born 7 May 1987) is a French international footballer who currently plays for Serie A club A.C. Milan and the France national team as a forward. Ménez has been described as an ambidex,Jérémy Ménez
Q1924,"Steve Mandanda (; born 28 March 1985) is a French international footballer who plays as a goalkeeper for French club Marseille in Ligue 1, where he serves as first-choice captain. Mandanda played for ",Steve Mandanda
Q192410,"Jennifer Kate Hudson (born September 12, 1981) is an  American recording artist, actress and spokesperson. She rose to fame in 2004 as a finalist on the third season of American Idol, coming in sevent",Jennifer Hudson
Q1924847,"Margot Elise Robbie (born 2 July 1990) is an Australian actress. She first came to prominence for her role as Donna Freedman on the soap opera Neighbours (2008–11), which earned her two Logie Award no",Margot Robbie
Q1925,"Yann Gérard  M'Vila (born 29 June 1990) is a French international footballer who plays for Serie A club Internazionale, on loan from Russian Premier League club Rubin Kazan. He operates as a defensive",Yann M'Vila
Q192505,"Mirko Vučinić (Montenegrin: Mиpкo Bучинић, ; born 1 October 1983) is a Montenegrin footballer who plays as a forward for Al Jazira in UAE Pro-League.

Having caught the attention of Pantaleo Corvino, ",Mirko Vučinić
Q1925465,"Raúl Alonso Jiménez Rodríguez (born 5 May 1991) is a Mexican professional footballer who plays as a striker for Spanish club Atlético Madrid and the Mexican national team. 

He began his career in Clu",Raúl Jiménez
Q192565,"João Pedro da Silva Pereira (born 25 February 1984) is a Portuguese professional footballer who plays for Spanish club Valencia CF and the Portugal national team, mainly as a right back.

An attacking",João Pereira (Portuguese footballer)
Q192587,"Amie Ann Duffy (born 23 June 1984), known as Duffy, is a Welsh singer-songwriter and occasional actress. 
Born in Bangor, Gwynedd, Wales, her career began when she recorded and released her debut EP, ",Duffy (singer)
Q1925961,"梅蒂·波尔森（，），丹麥女子羽毛球運動員。

簡歷
2011年7月，梅蒂·波尔森出戰在芬蘭萬塔舉行的歐洲青年羽毛球錦標賽，與Ditte Strung Larsen合作贏得女子雙打比賽冠軍。

主要比賽成績
只列出曾進入準決賽的國際賽事成績：
{| class=wikitable style=""text-align:center; font-size:small;"" 
!width=""80""|年份
",梅蒂·波尔森
Q1926,"Alou Diarra ( ; born 15 July 1981) is a French international footballer who is currently without a club having last played for West Ham United in the Premier League.

He primarily plays as a defensive",Alou Diarra
Q192661,"Jo-Wilfried Tsonga (; born ) is a French professional tennis player currently ranked World No. 12. He was born in Le Mans, to a French mother, Évelyne, and a Congolese father, Didier Tsonga, who moved",Jo-Wilfried Tsonga
Q192671,Arturo Erasmo Vidal Pardo (; born 22 May 1987) is a Chilean footballer who plays as a midfielder for Juventus and the Chile national team. A versatile player who played several different defensive and,Arturo Vidal
Q1926849,"Shu Chang (born 1 December 1987 in Baishan, Jilin, China) is a Chinese actress, singer, and television host. Some of her more notable roles in television series include: Consort Donggo in Xiaozhuang M",Shu Chang (actress)
Q192747,"       

Shaun Cameron Wright-Phillips (born 25 October 1981) is an English footballer who plays as a winger for Queens Park Rangers. 

He began his senior career with Manchester City in 1999, becomin",Shaun Wright-Phillips
Q1928,"Hatem Ben Arfa (, ; born 7 March 1987) is a French footballer who plays for Premier League club Hull City, on loan from Newcastle United, and for the France national football team. He plays as a winge",Hatem Ben Arfa
Q192801,"Robin Bo Carl Söderling (; born 14 August 1984 in Tibro) is a currently inactive professional tennis player from Sweden. He is a former world no. 4 in the ATP rankings, a career high he reached in Nov",Robin Söderling
Q192812,"Hayden Christensen (born April 19, 1981) is a Canadian actor and producer. He began his career on Canadian television at age 13, then diversified into American television in the late 1990s. He was pra",Hayden Christensen
Q192825,"Diniyar Rinatovich Bilyaletdinov (, ; born 27 February 1985 in Moscow) is a Russian footballer who plays as a midfielder for Torpedo Moscow on loan from Spartak Moscow. His father Rinat Bilyaletdinov ",Diniyar Bilyaletdinov
Q192856,"Emmanuel Eboué (born 4 June 1983) is an Ivorian footballer who plays for Galatasaray and the Ivory Coast national football team.

A natural right back, he is also able to play at right wing. First rep",Emmanuel Eboué
Q192887,"Kimberly Alexis Bledel (born September 16, 1981) is an American actress, model and producer. She is known for her role as Rory Gilmore in The WB/The CW comedy-drama Gilmore Girls.  She has since starr",Alexis Bledel
Q1928891,"Melissa Rose Bickerstaff (born February 6, 1983), known professionally as Melrose, is an American fashion model and fashion designer based in San Francisco, California, and signed to Leni's Model Mana",Melrose Bickerstaff
Q1929,Gaël Clichy ( ; born 26 July 1985) is a French professional footballer who plays for English club Manchester City and the France national football team. He is predominantly left footed but naturally r,Gaël Clichy
Q192913,Martin Škrtel (; born 15 December 1984) is a Slovak footballer who plays as a centre back for Liverpool and captains the Slovakia national team. He previously played for Trenčín and Zenit Saint Peters,Martin Škrtel
Q192923,"Sokratis Papastathopoulos (Greek: Σωκράτης Παπασταθόπουλος, ; born 9 June 1988) is a Greek footballer who plays as a centre back for German Bundesliga club Borussia Dortmund and the Greek national tea",Sokratis Papastathopoulos
Q193000,"Bruno Eduardo Regufe Alves (born 27 November 1981) is a Portuguese footballer who plays for Turkish club Fenerbahçe SK and the Portuguese national team, as a central defender.

He spent most of his pr",Bruno Alves
Q193005,Marco Simoncelli (; 20 January 1987 – 23 October 2011) was an Italian professional motorcycle racer. He competed in the Road Racing World Championship for 10 years from 2002 to 2011. He started in the,Marco Simoncelli
Q1931,"Cédric Carrasso (; born 30 December 1981) is a French footballer, who currently plays as a goalkeeper for Bordeaux. He has also played for the French national team.

 Club career 

 Marseille 
Carrass",Cédric Carrasso
Q193108,"William Anthony ""Tony"" Parker, Jr. (born 17 May 1982) is a French professional basketball player with the San Antonio Spurs of the National Basketball Association (NBA).

The son of a professional bas",Tony Parker
Q1931146,"陳潔英（，），紐西蘭女子羽毛球運動員。

簡歷
2014年8月，陳潔英參加丹麥哥本哈根舉行的世界羽毛球錦標賽，出戰女子單打項目，首圈就以0比2（14-21、19-21）不敵馬來西亞的郑清亿出局。

主要比賽成績
只列出曾進入準決賽的國際賽事成績：
{| class=wikitable style=""text-align:center; font-size:small;"" 
!width=""80""|",陳潔英
Q1932078,"米尔·舍特-克里斯滕森（，），丹麥女子羽毛球運動員。

主要比賽成績
只列出曾進入準決賽的國際賽事成績：
{| class=wikitable style=""text-align:center; font-size:small;"" 
!width=""80""|年份
!width=""180""|賽事
!width=""80""|項目
!width=""130""|拍檔
!width=""50""|成績
|-
!ro",米尔·舍特-克里斯滕森
Q1932113,"Heather Kuzmich (born April 19, 1986) is an American fashion model. She lives in Chicago, Illinois, where she is studying video game design. She is best known for being a contestant of America's Next ",Heather Kuzmich
Q1933,"[[File:Anja Paerson Aspen.jpg|thumb|Anja Pärson in Aspen in 2006]]
thumb|Anja Pärson in Monaco in 2006

Anja Sofia Tess Pärson (; born 25 April 1981) is a Swedish former alpine skier. She is an Olympi",Anja Pärson
Q1933702,"Mikkel Andersen (born 17 December 1988) is a Danish football goalkeeper who currently plays for Reading. He has played three games for the Denmark national under-21 football team.

Club career
Denmark",Mikkel Andersen
Q1934566,"Hoàng Thùy Linh (born August 11, 1988) is a Vietnamese actress and singer.Thông tin về Hoàng Thùy Linh tại nhacso.net She is well known for her controversial sex tape, for which she has been compared ",Hoàng Thùy Linh
Q193458,"Sienna Rose Diana Miller (born 28 December 1981) is an American-born British actress,http://m.imdb.com/name/nm1092227/quotes?ref_=m_nm_trv_trv model and fashion designer. In 2008, she was nominated fo",Sienna Miller
Q193488,Steven Jerome Pienaar (; born 17 March 1982) is a South African professional footballer who plays for English club Everton and was captain of the South African national team until October 2012. He pri,Steven Pienaar
Q19350,"Karl Levi Daniel Henry (born 26 November 1982) is an English footballer who plays as a midfielder for Queens Park Rangers.

Henry was a product of the Stoke City academy who went on to make over 120 a",Karl Henry
Q1935002,"  is a Japanese singer-songwriter and former voice actress and musical actress. She formerly belonged to Gekidan Himawari.
Her most noted voice role is that of Cowboy Bebop'''s Edward Wong Hau Pepelu ",Aoi Tada
Q1935027,"Laura Sioux Kirkpatrick (born June 12, 1989) is an American fashion model, best known as the runner-up of Cycle 13 of America's Next Top Model. Kirkpatrick was considered a favorite finalist among jud",Laura Kirkpatrick
Q193509,"Taylor Michel Momsen (born July 26, 1993) is an American actress, musician, and model, who portrayed the character of Jenny Humphrey on the CW television series Gossip Girl and Cindy Lou Who in Dr. Se",Taylor Momsen
Q193517,"Emily Olivia Leah Blunt (born 23 February 1983) is an English actress.  She has appeared in The Devil Wears Prada (2006), The Young Victoria (2009), The Adjustment Bureau (2011), Looper (2012), and Ed",Emily Blunt
Q1936,"Djibril Cissé (; born 12 August 1981) is a French footballer who plays as a striker for SC Bastia in Ligue 1. He is well known for his speed and acceleration. Since 2005, he has been Lord of the Manor",Djibril Cissé
Q1936365," is a Japanese actor from Shinagawa, Tokyo. He made his acting debut in the 2007 remake of Tsubaki Sanjuro. He is currently known for his portrayal of Daiki Kaito/Kamen Rider Diend in the Kamen Rider ",Kimito Totani
Q1936396," (born April 24, 1981) is a Japanese bikini idol, actress, and tarento. She was named as one of the ""7 most irresistibly cute Japanese idols"" by the Thailand version of FHM magazine in 2010. The magaz",Azusa Yamamoto
Q19364,"José Andrés Guardado Hernández (born 28 September 1986) is a Mexican professional footballer who plays for PSV Eindhoven on loan from Valencia CF and the Mexico national team, mainly as a left winger.",Andrés Guardado
Q19365,"Vicente Guaita Panadero (born 10 January 1987) is a Spanish professional footballer who plays for Getafe CF as a goalkeeper.

Football career
Valencia
Born in Torrent, Valencian Community, Guaita was ",Vicente Guaita
Q193661,"Stanislas Wawrinka ( ; born 28 March 1985) is a Swiss professional tennis player. He is currently the Swiss No. 2 and World No. 4, as of 06 October 2014. 

He climbed to his highest ranking so far, No",Stan Wawrinka
Q193665,"Tomáš Berdych (; born September 17, 1985) is a Czech professional tennis player. His most notable achievement was reaching the final of the 2010 Wimbledon Championships, causing consecutive upsets by ",Tomáš Berdych
Q19367,"Juan Bernat Velasco (born 1 March 1993) is a Spanish footballer who plays for Bayern Munich in the Bundesliga, mainly as a left back but also as a left winger.

Club career
Valencia
Born in Cullera, V",Juan Bernat
Q193690,"Nodar David Kumaritashvili (; ; 25 November 1988 – 12 February 2010) was a Georgian luger who suffered a fatal crash during a training run for the 2010 Winter Olympics competition in Whistler, Canada,",Nodar Kumaritashvili
Q193706,"David Luiz Moreira Marinho (born 22 April 1987), known as David Luiz, is a Brazilian professional footballer who plays for French club Paris Saint-Germain and serves as vice-captain for the Brazil nat",David Luiz
Q193717,"Jaroslav Plašil (; born 5 January 1982) is a Czech footballer who currently plays for Girondins de Bordeaux in Ligue 1 and the Czech Republic national football team.

Club career

Early career
Plašil,",Jaroslav Plašil
Q193768,"Suleyman Ali ""Sulley"" Muntari (; born 27 August 1984) is a Ghanaian international footballer who plays as a central midfielder for Milan.

During his time at Internazionale, he helped the team win the",Sulley Muntari
Q1938,Bacary Sagna () (born 14 February 1983) is a French footballer who plays for English club Manchester City and for the France national football team.  Arsenal manager Arsène Wenger has described him as,Bacary Sagna
Q19388,"Daniel ""Dani"" Parejo Muñoz (born 16 April 1989) is a Spanish professional footballer who plays for Valencia CF as a central midfielder.

Club career

Real Madrid
Born in Coslada, Community of Madrid, ",Daniel Parejo
Q19392,"Éver Maximiliano David Banega (; born 29 June 1988) is an Argentine professional footballer who plays for Spanish club Sevilla FC mainly as a central midfielder.

He started his career with Boca Junio",Éver Banega
